Date,Open,High,Low,Close,Volume,Symbol
2023-03-09,153.56,154.53,151.04,150.59,57305700,AAPL
2023-03-10,148.56,150.21,147.40,148.50,68572400,AAPL
2023-03-13,147.08,153.14,146.83,150.47,90601300,AAPL
2023-03-14,151.28,152.88,150.92,152.59,73695900,AAPL
2023-03-15,151.19,153.25,151.04,152.99,77167900,AAPL
2023-03-16,152.16,156.46,151.64,155.85,76254400,AAPL
2023-03-17,156.08,156.74,154.28,155.00,98944600,AAPL
2023-03-20,155.07,157.82,154.15,157.40,73641400,AAPL
2023-03-21,157.32,159.40,156.54,159.28,73938300,AAPL
2023-03-22,159.30,162.14,157.81,157.83,75701800,AAPL
2023-03-23,158.86,161.02,157.68,158.93,76069200,AAPL
2023-03-24,158.86,160.34,157.85,160.25,59278900,AAPL
2023-03-27,159.94,160.77,157.87,158.28,52390300,AAPL
2023-03-28,157.97,158.49,155.98,157.65,45992200,AAPL
2023-03-29,159.37,161.05,158.43,160.77,51305700,AAPL
2023-03-30,161.53,162.47,160.07,162.36,49501700,AAPL
2023-03-31,162.44,165.00,161.91,164.90,68749000,AAPL
2023-04-03,164.27,166.29,164.10,166.17,56976500,AAPL
2023-04-04,166.60,167.87,165.55,165.63,47364900,AAPL
2023-04-05,164.74,165.05,161.80,163.76,51511700,AAPL
2023-04-06,162.43,164.96,162.05,164.66,45390100,AAPL
2023-04-10,162.35,165.28,162.14,162.03,47716900,AAPL
2023-04-11,162.80,164.24,161.42,160.80,46278300,AAPL
2023-04-12,161.22,162.06,159.78,160.10,48162200,AAPL
2023-04-13,161.63,165.80,161.42,165.56,68445600,AAPL
2023-04-14,164.59,166.32,163.21,165.21,49337700,AAPL
2023-04-17,165.09,165.39,164.03,165.23,40714600,AAPL
2023-04-18,166.10,167.41,165.65,166.47,47644700,AAPL
2023-04-19,165.80,168.16,165.11,167.63,47089100,AAPL
2023-04-20,166.09,167.87,165.05,166.65,52456400,AAPL
2023-04-21,165.05,166.45,164.49,165.02,58311900,AAPL
2023-04-24,165.33,167.04,165.00,165.33,44237000,AAPL
2023-04-25,165.19,166.35,164.27,163.77,49923000,AAPL
2023-04-26,163.56,165.50,163.36,163.76,47644900,AAPL
2023-04-27,164.27,165.19,163.21,168.41,112788500,AAPL
2023-04-28,169.03,170.45,168.24,169.68,68046200,AAPL
2023-05-01,169.28,170.45,168.64,169.59,52472900,AAPL
2023-05-02,170.09,170.35,167.54,168.54,48425700,AAPL
2023-05-03,169.50,170.92,169.12,169.59,52163700,AAPL
2023-05-04,164.89,167.04,164.31,165.79,80010800,AAPL
2023-05-05,170.98,174.30,170.76,173.57,113316400,AAPL
2023-05-08,172.48,173.34,171.45,173.50,53522800,AAPL
2023-05-09,173.05,173.54,171.29,171.77,45328900,AAPL
2023-05-10,172.35,173.86,171.81,173.56,53724500,AAPL
2023-05-11,173.85,175.43,173.27,173.75,49514800,AAPL
2023-05-12,173.62,174.36,172.27,172.57,46841400,AAPL
2023-05-15,172.50,173.09,171.13,172.07,47216000,AAPL
2023-05-16,172.36,173.63,171.96,172.07,46266500,AAPL
2023-05-17,171.74,173.20,171.26,172.69,65433200,AAPL
2023-05-18,173.52,175.05,173.17,175.05,53799100,AAPL
2023-05-19,176.04,176.95,175.52,175.16,52046900,AAPL
2023-05-22,174.01,175.39,173.88,174.20,41000000,AAPL
2023-05-23,174.22,175.98,173.73,174.03,46336700,AAPL
2023-05-24,174.16,177.33,174.05,177.25,55962800,AAPL
2023-05-25,177.30,179.35,176.76,179.21,54835000,AAPL
2023-05-26,180.09,181.11,178.99,179.58,58337300,AAPL
